"shop_country_asin_date","asin","country","date","old_weighted_sales","new_weighted_sales","difference"
"合计_JP_B0CJVFJMVF_20251114","B0CJVFJMVF","JP","2025-11-14","4.3","6","-1.7"
"合计_US_B0D66D792T_20251114","B0D66D792T","US","2025-11-14","3.2","8.1","-4.9"
"合计_US_B0F9YNLLCN_20251114","B0F9YNLLCN","US","2025-11-14","3.6","7","-3.4"
"合计_JP_B0CJVFJMVF_20251115","B0CJVFJMVF","JP","2025-11-15","4","5.9","-1.9"
"合计_US_B0D66D792T_20251115","B0D66D792T","US","2025-11-15","6.4","7.9","-1.5"
"合计_US_B0F9YNLLCN_20251115","B0F9YNLLCN","US","2025-11-15","4.1","7.2","-3.1"
"合计_JP_B0FKGX4PYG_20251115","B0FKGX4PYG","JP","2025-11-15","4.6","5.7","-1.1"
"合计_JP_B0FKH6L6FJ_20251115","B0FKH6L6FJ","JP","2025-11-15","3.3","4.7","-1.4"
"合计_JP_B0CJVFJMVF_20251116","B0CJVFJMVF","JP","2025-11-16","3.8","5.8","-2"
"合计_US_B0F9YNLLCN_20251116","B0F9YNLLCN","US","2025-11-16","5.3","6.8","-1.5"
"合计_JP_B0FKGX4PYG_20251116","B0FKGX4PYG","JP","2025-11-16","4.4","5.6","-1.2"
"合计_JP_B0FKH6L6FJ_20251116","B0FKH6L6FJ","JP","2025-11-16","3.1","4.6","-1.5"
"合计_JP_B0CJVFJMVF_20251117","B0CJVFJMVF","JP","2025-11-17","3.9","5.7","-1.8"
"合计_US_B0F9YNLLCN_20251117","B0F9YNLLCN","US","2025-11-17","4.7","6.3","-1.6"
"合计_JP_B0FKH6L6FJ_20251117","B0FKH6L6FJ","JP","2025-11-17","3.2","4.4","-1.2"
"合计_JP_B0CJVFJMVF_20251118","B0CJVFJMVF","JP","2025-11-18","4.1","5.5","-1.4"
"合计_US_B0F9YNLLCN_20251118","B0F9YNLLCN","US","2025-11-18","3.9","5.9","-2"
"合计_JP_B0FKGX4PYG_20251118","B0FKGX4PYG","JP","2025-11-18","4.1","5.2","-1.1"
"合计_JP_B0CJVFJMVF_20251119","B0CJVFJMVF","JP","2025-11-19","4.1","5.7","-1.6"
"合计_US_B0D66D792T_20251119","B0D66D792T","US","2025-11-19","7","5.9","1.1"
"合计_US_B0F9YNLLCN_20251119","B0F9YNLLCN","US","2025-11-19","3.2","5.3","-2.1"
"合计_JP_B0FKGX4PYG_20251119","B0FKGX4PYG","JP","2025-11-19","3.3","4.9","-1.6"
"合计_JP_B0CJVFJMVF_20251120","B0CJVFJMVF","JP","2025-11-20","4.1","5.6","-1.5"
"合计_US_B0D66D792T_20251120","B0D66D792T","US","2025-11-20","8.9","5.1","3.8"
"合计_US_B0F9YNLLCN_20251120","B0F9YNLLCN","US","2025-11-20","3.6","5.5","-1.9"
"合计_JP_B0FKGX4PYG_20251120","B0FKGX4PYG","JP","2025-11-20","3.3","5","-1.7"
"合计_JP_B0CJVFJMVF_20251121","B0CJVFJMVF","JP","2025-11-21","4.1","5.6","-1.5"
"合计_US_B0D66D792T_20251121","B0D66D792T","US","2025-11-21","8.7","4.9","3.8"
"合计_US_B0F9YNLLCN_20251121","B0F9YNLLCN","US","2025-11-21","4.1","5.6","-1.5"
"合计_JP_B0FKGX4PYG_20251121","B0FKGX4PYG","JP","2025-11-21","3.6","5","-1.4"
"合计_JP_B0CJVFJMVF_20251122","B0CJVFJMVF","JP","2025-11-22","3.9","5.4","-1.5"
"合计_US_B0F9YNLLCN_20251122","B0F9YNLLCN","US","2025-11-22","4.4","5.5","-1.1"
"合计_JP_B0FKGX4PYG_20251122","B0FKGX4PYG","JP","2025-11-22","3.2","5","-1.8"
"合计_JP_B0CJVFJMVF_20251123","B0CJVFJMVF","JP","2025-11-23","4.1","5.5","-1.4"
"合计_US_B0D66D792T_20251123","B0D66D792T","US","2025-11-23","7.8","5.9","1.9"
"合计_US_B0F9YNLLCN_20251123","B0F9YNLLCN","US","2025-11-23","3.9","6","-2.1"
"合计_JP_B0FKGX4PYG_20251123","B0FKGX4PYG","JP","2025-11-23","3.7","5.3","-1.6"
"合计_JP_B0CJVFJMVF_20251124","B0CJVFJMVF","JP","2025-11-24","4.4","5.5","-1.1"
"合计_US_B0D66D792T_20251124","B0D66D792T","US","2025-11-24","7.4","6.1","1.3"
"合计_US_B0F9YNLLCN_20251124","B0F9YNLLCN","US","2025-11-24","3.9","5.9","-2"
"合计_US_B0F9YNLLCN_20251125","B0F9YNLLCN","US","2025-11-25","4.2","6.3","-2.1"
"合计_JP_B0FKGX4PYG_20251125","B0FKGX4PYG","JP","2025-11-25","5","7.4","-2.4"
"合计_US_B0D66D792T_20251126","B0D66D792T","US","2025-11-26","5.2","6.7","-1.5"
"合计_US_B0F9YNLLCN_20251126","B0F9YNLLCN","US","2025-11-26","4.2","7.1","-2.9"
"合计_JP_B0FKGX4PYG_20251126","B0FKGX4PYG","JP","2025-11-26","4.4","7.2","-2.8"
"合计_US_B0D66D792T_20251127","B0D66D792T","US","2025-11-27","8.3","6.8","1.5"
"合计_US_B0F9YNLLCN_20251127","B0F9YNLLCN","US","2025-11-27","4.7","7.1","-2.4"
"合计_JP_B0FKGX4PYG_20251127","B0FKGX4PYG","JP","2025-11-27","5.1","7.3","-2.2"
"合计_JP_B0FWK4RN65_20251127","B0FWK4RN65","JP","2025-11-27","3.8","2.7","1.1"
"合计_US_B0D66D792T_20251128","B0D66D792T","US","2025-11-28","7.2","6.1","1.1"
"合计_US_B0F9YNLLCN_20251128","B0F9YNLLCN","US","2025-11-28","4.5","7.2","-2.7"
"合计_JP_B0FKGX4PYG_20251128","B0FKGX4PYG","JP","2025-11-28","4.8","7.4","-2.6"
"合计_US_B0F9YNLLCN_20251129","B0F9YNLLCN","US","2025-11-29","5.1","8.4","-3.3"
"合计_JP_B0FKGX4PYG_20251129","B0FKGX4PYG","JP","2025-11-29","4.6","7.4","-2.8"
"合计_US_B0F9YNLLCN_20251130","B0F9YNLLCN","US","2025-11-30","5.4","8.6","-3.2"
"合计_JP_B0FKGX4PYG_20251130","B0FKGX4PYG","JP","2025-11-30","4.4","7.4","-3"
"合计_US_B0F9YNLLCN_20251201","B0F9YNLLCN","US","2025-12-01","5.4","8.4","-3"
"合计_JP_B0FKGX4PYG_20251201","B0FKGX4PYG","JP","2025-12-01","4","6.8","-2.8"
"合计_DE_B0FM2FF46L_20251201","B0FM2FF46L","DE","2025-12-01","10.7","8.5","2.2"
"合计_US_B0F9YNLLCN_20251202","B0F9YNLLCN","US","2025-12-02","5.7","9.2","-3.5"
"合计_DE_B0FM2FF46L_20251202","B0FM2FF46L","DE","2025-12-02","12.3","9.8","2.5"
"合计_US_B0D66D792T_20251203","B0D66D792T","US","2025-12-03","8.7","9.9","-1.2"
"合计_US_B0F9YNLLCN_20251203","B0F9YNLLCN","US","2025-12-03","5.6","8.8","-3.2"
"合计_DE_B0FM2FF46L_20251203","B0FM2FF46L","DE","2025-12-03","11.9","9.3","2.6"
"合计_US_B0D66D792T_20251204","B0D66D792T","US","2025-12-04","8.9","10.2","-1.3"
"合计_US_B0F9YNLLCN_20251204","B0F9YNLLCN","US","2025-12-04","5.6","8.5","-2.9"
"合计_DE_B0FM2FF46L_20251204","B0FM2FF46L","DE","2025-12-04","12.5","9.9","2.6"
"合计_US_B0D66D792T_20251205","B0D66D792T","US","2025-12-05","8.3","10.5","-2.2"
"合计_US_B0F9YNLLCN_20251205","B0F9YNLLCN","US","2025-12-05","5.5","8.2","-2.7"
"合计_DE_B0FM2FF46L_20251205","B0FM2FF46L","DE","2025-12-05","12.2","9.6","2.6"
"合计_US_B0D66D792T_20251206","B0D66D792T","US","2025-12-06","8.1","10.3","-2.2"
"合计_US_B0F9YNLLCN_20251206","B0F9YNLLCN","US","2025-12-06","4.9","7.2","-2.3"
"合计_US_B0D66D792T_20251207","B0D66D792T","US","2025-12-07","8.3","10.5","-2.2"
"合计_US_B0F9YNLLCN_20251207","B0F9YNLLCN","US","2025-12-07","4.9","6.9","-2"
"合计_US_B0D66D792T_20251208","B0D66D792T","US","2025-12-08","7.8","9.7","-1.9"
"合计_US_B0F9YNLLCN_20251208","B0F9YNLLCN","US","2025-12-08","4.9","6.8","-1.9"
"合计_US_B0D66D792T_20251209","B0D66D792T","US","2025-12-09","7.1","8.5","-1.4"
"合计_US_B0F9YNLLCN_20251209","B0F9YNLLCN","US","2025-12-09","4.5","6.1","-1.6"
"合计_US_B0D66D792T_20251210","B0D66D792T","US","2025-12-10","8.4","9.7","-1.3"
"合计_US_B0F9YNLLCN_20251210","B0F9YNLLCN","US","2025-12-10","4.4","5.9","-1.5"
"合计_US_B0F9YNLLCN_20251211","B0F9YNLLCN","US","2025-12-11","4.7","5.8","-1.1"
"合计_US_B0F9YNLLCN_20251212","B0F9YNLLCN","US","2025-12-12","5","6.1","-1.1"
"合计_FR_B0FH78NK8W_20251214","B0FH78NK8W","FR","2025-12-14","12.7","11.6","1.1"
"合计_FR_B0FH78NK8W_20251215","B0FH78NK8W","FR","2025-12-15","13.5","12.4","1.1"
"合计_FR_B0FH78NK8W_20251216","B0FH78NK8W","FR","2025-12-16","13.9","12.8","1.1"
"合计_US_B0D66D792T_20251217","B0D66D792T","US","2025-12-17","14.9","13.8","1.1"
"合计_FR_B0FH78NK8W_20251217","B0FH78NK8W","FR","2025-12-17","13.9","12.7","1.2"
"合计_US_B0D66D792T_20251218","B0D66D792T","US","2025-12-18","14","12.8","1.2"
"合计_US_B0D66D792T_20251219","B0D66D792T","US","2025-12-19","13.4","11.8","1.6"
"合计_US_B0D66D792T_20251220","B0D66D792T","US","2025-12-20","12.3","11.1","1.2"
"合计_US_B0D66D792T_20251221","B0D66D792T","US","2025-12-21","11.4","10","1.4"
"合计_US_B0D66D792T_20251222","B0D66D792T","US","2025-12-22","10.9","9.5","1.4"
"合计_US_B0D66D792T_20251223","B0D66D792T","US","2025-12-23","10.4","9.1","1.3"
"合计_US_B0D66D792T_20251224","B0D66D792T","US","2025-12-24","10.2","8.8","1.4"
"合计_US_B0D66D792T_20251225","B0D66D792T","US","2025-12-25","9.6","8.2","1.4"
"合计_US_B0FB3P6H48_20251225","B0FB3P6H48","US","2025-12-25","57.6","54.3","3.3"
"合计_US_B0D66D792T_20251226","B0D66D792T","US","2025-12-26","9.2","7.9","1.3"
"合计_US_B0FB3P6H48_20251226","B0FB3P6H48","US","2025-12-26","54.7","51.5","3.2"
"合计_US_B0D66D792T_20251227","B0D66D792T","US","2025-12-27","9.1","7.9","1.2"
"合计_US_B0FB3P6H48_20251227","B0FB3P6H48","US","2025-12-27","51.1","48","3.1"
"合计_CA_B0FKG5YT3H_20251227","B0FKG5YT3H","CA","2025-12-27","4.2","2.5","1.7"
"合计_US_B0D66D792T_20251228","B0D66D792T","US","2025-12-28","8.9","7.6","1.3"
"合计_US_B0FB3P6H48_20251228","B0FB3P6H48","US","2025-12-28","47.6","44.6","3"
"合计_CA_B0FKG5YT3H_20251228","B0FKG5YT3H","CA","2025-12-28","4.6","2.9","1.7"
"合计_US_B0D66D792T_20251229","B0D66D792T","US","2025-12-29","8.5","7.2","1.3"
"合计_US_B0FB3P6H48_20251229","B0FB3P6H48","US","2025-12-29","44.3","41.7","2.6"
"合计_CA_B0FKG5YT3H_20251229","B0FKG5YT3H","CA","2025-12-29","4.8","3.1","1.7"
"合计_US_B0D66D792T_20251230","B0D66D792T","US","2025-12-30","8.4","7.1","1.3"
