"shop_country_asin_date","asin","country","date","old_weighted_sales","new_weighted_sales","difference"
"合计_US_B0D66D792T_20260210","B0D66D792T","US","2026-02-10","7.8","6","1.8"
"合计_US_B0FB3P6H48_20260210","B0FB3P6H48","US","2026-02-10","34.9","25.5","9.4"
"合计_US_B0D66D792T_20260211","B0D66D792T","US","2026-02-11","7.5","5.8","1.7"
"合计_US_B0FB3P6H48_20260211","B0FB3P6H48","US","2026-02-11","32.7","23.8","8.9"
"合计_US_B0D66D792T_20260212","B0D66D792T","US","2026-02-12","7.3","5.6","1.7"
"合计_US_B0FB3P6H48_20260212","B0FB3P6H48","US","2026-02-12","32.3","24","8.3"
"合计_US_B0D66D792T_20260213","B0D66D792T","US","2026-02-13","7","5.4","1.6"
"合计_US_B0FB3P6H48_20260213","B0FB3P6H48","US","2026-02-13","31.8","23.7","8.1"
"合计_US_B0FB3P6H48_20260214","B0FB3P6H48","US","2026-02-14","30.4","23.2","7.2"
"合计_US_B0FB3P6H48_20260215","B0FB3P6H48","US","2026-02-15","28.9","22.1","6.8"
"合计_US_B0FB3P6H48_20260216","B0FB3P6H48","US","2026-02-16","28.5","22.4","6.1"
"合计_US_B0FB3P6H48_20260217","B0FB3P6H48","US","2026-02-17","27.1","21.3","5.8"
"合计_US_B0FB3P6H48_20260218","B0FB3P6H48","US","2026-02-18","26.6","21.3","5.3"
"合计_US_B0FB3P6H48_20260219","B0FB3P6H48","US","2026-02-19","28","22.9","5.1"
"合计_US_B0FB3P6H48_20260220","B0FB3P6H48","US","2026-02-20","28.7","24","4.7"
"合计_US_B0FB3P6H48_20260221","B0FB3P6H48","US","2026-02-21","30.1","25.7","4.4"
"合计_US_B0FB3P6H48_20260222","B0FB3P6H48","US","2026-02-22","31","27.3","3.7"
"合计_US_B0FB3P6H48_20260223","B0FB3P6H48","US","2026-02-23","30.9","27.6","3.3"
"合计_US_B0FB3P6H48_20260224","B0FB3P6H48","US","2026-02-24","32","29","3"
"合计_US_B0FB3P6H48_20260225","B0FB3P6H48","US","2026-02-25","34.3","31.3","3"
"合计_US_B0FB3P6H48_20260226","B0FB3P6H48","US","2026-02-26","35.5","32.4","3.1"
"合计_US_B0FB3P6H48_20260227","B0FB3P6H48","US","2026-02-27","39.5","36.7","2.8"
"合计_US_B0FB3P6H48_20260228","B0FB3P6H48","US","2026-02-28","43.3","40.9","2.4"
"合计_US_B0FB3P6H48_20260301","B0FB3P6H48","US","2026-03-01","47.3","45.1","2.2"
"合计_US_B0FB3P6H48_20260302","B0FB3P6H48","US","2026-03-02","49.2","47.3","1.9"
"合计_US_B0FB3P6H48_20260303","B0FB3P6H48","US","2026-03-03","52.3","50.6","1.7"
"合计_US_B0FB3P6H48_20260304","B0FB3P6H48","US","2026-03-04","50.4","48.9","1.5"
"合计_US_B0FB3P6H48_20260305","B0FB3P6H48","US","2026-03-05","49.2","48","1.2"
"合计_US_B0G4D9NJRX_20260328","B0G4D9NJRX","US","2026-03-28","33.6","31.9","1.7"
"合计_US_B0G4D9NJRX_20260329","B0G4D9NJRX","US","2026-03-29","33.3","30.3","3"
"合计_US_B0G4D9NJRX_20260330","B0G4D9NJRX","US","2026-03-30","32.1","29","3.1"
"合计_US_B0G4D9NJRX_20260331","B0G4D9NJRX","US","2026-03-31","32.5","29.1","3.4"
"合计_US_B0G4D9NJRX_20260401","B0G4D9NJRX","US","2026-04-01","32.8","29.4","3.4"
"合计_DE_B0G41T6B8R_20260415","B0G41T6B8R","DE","2026-04-15","4","5.9","-1.9"
"合计_DE_B0G41T6B8R_20260416","B0G41T6B8R","DE","2026-04-16","4","5.9","-1.9"
"合计_DE_B0G41T6B8R_20260417","B0G41T6B8R","DE","2026-04-17","3.9","5.8","-1.9"
"合计_DE_B0G41T6B8R_20260418","B0G41T6B8R","DE","2026-04-18","4.1","5.8","-1.7"
"合计_DE_B0G41T6B8R_20260419","B0G41T6B8R","DE","2026-04-19","4","6.1","-2.1"
"合计_DE_B0G41T6B8R_20260420","B0G41T6B8R","DE","2026-04-20","3.9","6.8","-2.9"
"合计_DE_B0G41T6B8R_20260421","B0G41T6B8R","DE","2026-04-21","3.7","7.2","-3.5"
"合计_DE_B0G41T6B8R_20260422","B0G41T6B8R","DE","2026-04-22","3.8","7","-3.2"
"合计_DE_B0G41T6B8R_20260423","B0G41T6B8R","DE","2026-04-23","3.6","6.7","-3.1"
"合计_DE_B0G41T6B8R_20260424","B0G41T6B8R","DE","2026-04-24","3.5","6.9","-3.4"
"合计_DE_B0G41T6B8R_20260425","B0G41T6B8R","DE","2026-04-25","3.4","6.8","-3.4"
"合计_DE_B0G41T6B8R_20260426","B0G41T6B8R","DE","2026-04-26","3.4","6.5","-3.1"
"合计_DE_B0G41T6B8R_20260427","B0G41T6B8R","DE","2026-04-27","3.2","6.5","-3.3"
"合计_DE_B0G41T6B8R_20260428","B0G41T6B8R","DE","2026-04-28","3.2","6.6","-3.4"
"合计_DE_B0G41T6B8R_20260429","B0G41T6B8R","DE","2026-04-29","3","6.2","-3.2"
"合计_US_B0GMD43632_20260429","B0GMD43632","US","2026-04-29","11.9","16.5","-4.6"
"合计_DE_B0G41T6B8R_20260430","B0G41T6B8R","DE","2026-04-30","3.2","6","-2.8"
"合计_US_B0GMD43632_20260430","B0GMD43632","US","2026-04-30","11.6","17","-5.4"
"合计_DE_B0G41T6B8R_20260501","B0G41T6B8R","DE","2026-05-01","3","5.6","-2.6"
"合计_US_B0GMD43632_20260501","B0GMD43632","US","2026-05-01","9.3","17.6","-8.3"
"合计_DE_B0G41T6B8R_20260502","B0G41T6B8R","DE","2026-05-02","2.8","5.4","-2.6"
"合计_US_B0GMD43632_20260502","B0GMD43632","US","2026-05-02","9","16.8","-7.8"
"合计_DE_B0G41T6B8R_20260503","B0G41T6B8R","DE","2026-05-03","2.5","5.1","-2.6"
"合计_US_B0GMD43632_20260503","B0GMD43632","US","2026-05-03","9","16.8","-7.8"
"合计_DE_B0G41T6B8R_20260504","B0G41T6B8R","DE","2026-05-04","2.9","5.1","-2.2"
"合计_US_B0GMD43632_20260504","B0GMD43632","US","2026-05-04","7.7","16.5","-8.8"
"合计_DE_B0G41T6B8R_20260505","B0G41T6B8R","DE","2026-05-05","3.1","4.9","-1.8"
"合计_US_B0GMD43632_20260505","B0GMD43632","US","2026-05-05","7.2","15.9","-8.7"
"合计_DE_B0G41T6B8R_20260506","B0G41T6B8R","DE","2026-05-06","3.9","5.3","-1.4"
"合计_US_B0GMD43632_20260506","B0GMD43632","US","2026-05-06","7","15.8","-8.8"
"合计_DE_B0G41T6B8R_20260507","B0G41T6B8R","DE","2026-05-07","4.3","5.6","-1.3"
"合计_US_B0GMD43632_20260507","B0GMD43632","US","2026-05-07","5","16","-11"
"合计_DE_B0G41T6B8R_20260508","B0G41T6B8R","DE","2026-05-08","4.6","6","-1.4"
"合计_US_B0GMD43632_20260508","B0GMD43632","US","2026-05-08","4.9","16.7","-11.8"
"合计_DE_B0G41T6B8R_20260509","B0G41T6B8R","DE","2026-05-09","5.5","6.7","-1.2"
"合计_US_B0GMD43632_20260509","B0GMD43632","US","2026-05-09","4.4","18","-13.6"
"合计_DE_B0G41T6B8R_20260510","B0G41T6B8R","DE","2026-05-10","6.2","7.3","-1.1"
"合计_US_B0GMD43632_20260510","B0GMD43632","US","2026-05-10","6","18.5","-12.5"
"合计_US_B0GMD43632_20260511","B0GMD43632","US","2026-05-11","5.7","19","-13.3"
"合计_US_B0GMRFQFWC_20260511","B0GMRFQFWC","US","2026-05-11","23.8","21.3","2.5"
"合计_US_B0GMD43632_20260512","B0GMD43632","US","2026-05-12","5.6","19.5","-13.9"
"合计_US_B0GMRFQFWC_20260512","B0GMRFQFWC","US","2026-05-12","24.3","20","4.3"
"合计_US_B0GMD43632_20260513","B0GMD43632","US","2026-05-13","5.5","19.7","-14.2"
"合计_US_B0GMRFQFWC_20260513","B0GMRFQFWC","US","2026-05-13","24.6","18.7","5.9"
"合计_US_B0GMD43632_20260514","B0GMD43632","US","2026-05-14","5.4","19.5","-14.1"
"合计_US_B0GMRFQFWC_20260514","B0GMRFQFWC","US","2026-05-14","24.4","18.5","5.9"
"合计_US_B0GMD43632_20260515","B0GMD43632","US","2026-05-15","5.5","19.3","-13.8"
"合计_US_B0GMRFQFWC_20260515","B0GMRFQFWC","US","2026-05-15","23.8","17.9","5.9"
"合计_US_B0GMD43632_20260516","B0GMD43632","US","2026-05-16","5.5","19","-13.5"
"合计_US_B0GMRFQFWC_20260516","B0GMRFQFWC","US","2026-05-16","23.2","17.4","5.8"
"合计_US_B0GMD43632_20260517","B0GMD43632","US","2026-05-17","4.9","18.8","-13.9"
"合计_US_B0GMRFQFWC_20260517","B0GMRFQFWC","US","2026-05-17","22.6","15.7","6.9"
"合计_US_B0GMD43632_20260518","B0GMD43632","US","2026-05-18","6.2","18.8","-12.6"
"合计_US_B0GMRFQFWC_20260518","B0GMRFQFWC","US","2026-05-18","21.3","15.5","5.8"
"合计_US_B0GMD43632_20260519","B0GMD43632","US","2026-05-19","6.9","18.6","-11.7"
"合计_US_B0GMRFQFWC_20260519","B0GMRFQFWC","US","2026-05-19","19.8","15","4.8"
"合计_US_B0GMD43632_20260520","B0GMD43632","US","2026-05-20","7.6","18.4","-10.8"
"合计_US_B0GMRFQFWC_20260520","B0GMRFQFWC","US","2026-05-20","18.5","14.4","4.1"
"合计_US_B0GMD43632_20260521","B0GMD43632","US","2026-05-21","8.2","18.1","-9.9"
"合计_US_B0GMRFQFWC_20260521","B0GMRFQFWC","US","2026-05-21","17.5","13.4","4.1"
"合计_US_B0GMD43632_20260522","B0GMD43632","US","2026-05-22","8.4","17.4","-9"
"合计_US_B0GMRFQFWC_20260522","B0GMRFQFWC","US","2026-05-22","17.2","13.1","4.1"
"合计_US_B0GMD43632_20260523","B0GMD43632","US","2026-05-23","9.4","17.3","-7.9"
"合计_US_B0GMRFQFWC_20260523","B0GMRFQFWC","US","2026-05-23","16.6","12.5","4.1"
"合计_US_B0GMD43632_20260524","B0GMD43632","US","2026-05-24","9.5","16.5","-7"
"合计_US_B0GMRFQFWC_20260524","B0GMRFQFWC","US","2026-05-24","15.8","12.3","3.5"
"合计_US_B0GMRFQFWC_20260525","B0GMRFQFWC","US","2026-05-25","15.1","11.6","3.5"
"合计_US_B0GMRFQFWC_20260526","B0GMRFQFWC","US","2026-05-26","14.6","11.9","2.7"
"合计_US_B0GMRFQFWC_20260527","B0GMRFQFWC","US","2026-05-27","13.9","11.4","2.5"
"合计_US_B0GMRFQFWC_20260528","B0GMRFQFWC","US","2026-05-28","13.4","11.3","2.1"
"合计_US_B0GMRFQFWC_20260529","B0GMRFQFWC","US","2026-05-29","12.7","10.7","2"
"合计_US_B0GY8PJS3K_20260529","B0GY8PJS3K","US","2026-05-29","12.1","5.2","6.9"
"合计_US_B0GMRFQFWC_20260530","B0GMRFQFWC","US","2026-05-30","12.6","10.5","2.1"
"合计_US_B0GY8PJS3K_20260530","B0GY8PJS3K","US","2026-05-30","11.9","5.5","6.4"
"合计_US_B0GMRFQFWC_20260531","B0GMRFQFWC","US","2026-05-31","12.3","9.8","2.5"
"合计_US_B0GY8PJS3K_20260531","B0GY8PJS3K","US","2026-05-31","11.6","5.2","6.4"
"合计_US_B0GMRFQFWC_20260601","B0GMRFQFWC","US","2026-06-01","12.1","9.2","2.9"
"合计_US_B0GY8PJS3K_20260601","B0GY8PJS3K","US","2026-06-01","10.7","5.2","5.5"
"合计_US_B0GMRFQFWC_20260602","B0GMRFQFWC","US","2026-06-02","11.5","8.5","3"
"合计_US_B0GY8PJS3K_20260602","B0GY8PJS3K","US","2026-06-02","10.1","5.2","4.9"
"合计_US_B0GMRFQFWC_20260603","B0GMRFQFWC","US","2026-06-03","11.1","8.4","2.7"
"合计_US_B0GY8PJS3K_20260603","B0GY8PJS3K","US","2026-06-03","10","5.7","4.3"
"合计_US_B0GMRFQFWC_20260604","B0GMRFQFWC","US","2026-06-04","11.2","7.8","3.4"
"合计_US_B0GY8PJS3K_20260604","B0GY8PJS3K","US","2026-06-04","9.6","5.5","4.1"
"合计_US_B0GMRFQFWC_20260605","B0GMRFQFWC","US","2026-06-05","11.1","7.7","3.4"
"合计_US_B0GY8PJS3K_20260605","B0GY8PJS3K","US","2026-06-05","9","5.2","3.8"
"合计_US_B0GMRFQFWC_20260606","B0GMRFQFWC","US","2026-06-06","10.7","6.7","4"
"合计_US_B0GY8PJS3K_20260606","B0GY8PJS3K","US","2026-06-06","8.4","5","3.4"
"合计_US_B0GMRFQFWC_20260607","B0GMRFQFWC","US","2026-06-07","10.5","6.8","3.7"
"合计_CA_B0GWLN5RNP_20260607","B0GWLN5RNP","CA","2026-06-07","6.7","5.4","1.3"
"合计_US_B0GY8PJS3K_20260607","B0GY8PJS3K","US","2026-06-07","7.9","4.8","3.1"
"合计_US_B0GMRFQFWC_20260608","B0GMRFQFWC","US","2026-06-08","10.2","6.8","3.4"
"合计_CA_B0GWLN5RNP_20260608","B0GWLN5RNP","CA","2026-06-08","6.7","5.6","1.1"
"合计_US_B0GY8PJS3K_20260608","B0GY8PJS3K","US","2026-06-08","7.6","4.5","3.1"
"合计_US_B0GMRFQFWC_20260609","B0GMRFQFWC","US","2026-06-09","10.2","6","4.2"
"合计_CA_B0GWLN5RNP_20260609","B0GWLN5RNP","CA","2026-06-09","6.2","5.1","1.1"
"合计_US_B0GY8PJS3K_20260609","B0GY8PJS3K","US","2026-06-09","7.1","4.6","2.5"
"合计_US_B0GMRFQFWC_20260610","B0GMRFQFWC","US","2026-06-10","10","5.5","4.5"
"合计_CA_B0GWLN5RNP_20260610","B0GWLN5RNP","CA","2026-06-10","6","4.9","1.1"
"合计_US_B0GY8PJS3K_20260610","B0GY8PJS3K","US","2026-06-10","6.8","4.3","2.5"
